Koordinatensystem : Lambert konform konisch
Rechtswert        : 4210500 Meter
Hochwert          : 2861500 Meter
Hoehenlage        : 32 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4210500 2861500  1  7 18   5.7 1008 193  2.4 6  4.7  82    0    0 292 -334  1
4210500 2861500  1  7 19   5.5 1008 187  3.3 6  4.8  84    0    0 293 -332  1
4210500 2861500  1  7 20   4.8 1009 198  2.5 5  4.8  88    0    0 287 -330  1
4210500 2861500  1  7 21   4.4 1009 203  2.9 5  4.7  89    0    0 280 -328  1
4210500 2861500  1  7 22   4.1 1009 221  2.7 5  4.6  89    0    0 279 -329  1
4210500 2861500  1  7 23   3.8 1009 199  2.3 5  4.5  89    0    0 277 -329  1
4210500 2861500  1  7 24   3.5 1009 189  2.2 6  4.4  89    0    0 282 -329  1
4210500 2861500  1  8  1   3.2 1009 195  2.9 7  4.4  91    0    0 292 -329  1
4210500 2861500  1  8  2   2.8 1009 211  1.4 7  4.3  92    0    0 296 -329  1
4210500 2861500  1  8  3   2.2 1009 208  1.1 6  4.1  91    0    0 287 -329  1
4210500 2861500  1  8  4   1.2 1009 242  1.5 7  3.9  91    0    0 283 -327  1
4210500 2861500  1  8  5   1.3 1009 179  1.1 7  3.8  92    0    0 289 -325  1
4210500 2861500  1  8  6   1.8 1009 214  1.1 7  4.0  93    0    0 289 -325  1
4210500 2861500  1  8  7   1.6 1009 231  1.5 6  4.0  94    0    0 282 -325  1
4210500 2861500  1  8  8   1.4 1009 208  1.4 5  4.0  93    0    0 270 -322  1
4210500 2861500  1  8  9   1.4 1009 192  1.2 5  3.9  93    0    6 266 -322  1
4210500 2861500  1  8 10   2.2 1009 207  1.5 6  4.1  93   22   45 275 -324  1
4210500 2861500  1  8 11   3.0 1010 212  1.1 5  4.2  92   35   83 278 -327  1
4210500 2861500  1  8 12   3.6 1009 237  1.4 5  4.2  88   66  107 272 -330  1
4210500 2861500  1  8 13   5.6 1009 244  2.1 2  4.4  82  125   96 252 -333  1
4210500 2861500  1  8 14   5.9 1009 272  3.2 2  4.3  76  105   88 230 -335  1
4210500 2861500  1  8 15   6.4 1009 272  2.9 1  4.2  72   57   68 226 -336  1
4210500 2861500  1  8 16   5.3 1008 255  2.9 2  4.0  70    8   29 237 -334  1
4210500 2861500  1  8 17   3.9 1008 207  2.6 3  3.9  74    0    0 249 -332  1
4210500 2861500  1  8 18   2.9 1008 252  2.0 2  3.9  81    0    0 245 -330  1
4210500 2861500  1  8 19   1.8 1008 246  2.7 1  3.8  84    0    0 232 -329  1
4210500 2861500  1  8 20   1.5 1008 248  2.5 1  3.6  83    0    0 226 -327  1
4210500 2861500  1  8 21   1.1 1009 251  2.0 0  3.6  85    0    0 217 -326  1
4210500 2861500  1  8 22   0.0 1008 162  2.5 0  3.5  88    0    0 204 -326  1
